                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94432,                0.84182,                 1.1752,                  1.044,                0.89751,                 1.1861,                0.52179,                0.55798,                0.45665,                0.26239,                 1.6486,                 1.8664,                 1.9731,                 1.6913,                  2.103,                 1.8653,             0.00087636,             0.00087636,             0.00087636
                     35,                0.94602,                0.84076,                 1.1821,                  1.043,                    0.9,                 1.1924,                0.51158,                0.56167,                0.45737,                0.25647,                 1.6426,                 1.8754,                 1.9266,                 1.6871,                 2.1484,                  1.834,             0.00086902,             0.00086902,             0.00086902
                     36,                0.93806,                0.83162,                 1.1767,                 1.0384,                0.89129,                 1.1864,                0.52815,                0.59101,                0.47344,                0.26952,                 1.6221,                 1.8342,                  1.952,                 1.6737,                 2.0682,                 1.8555,             0.00086169,             0.00086169,             0.00086169
                     37,                0.92998,                0.82249,                 1.1727,                 1.0296,                0.88307,                 1.1832,                0.53481,                0.59758,                0.46186,                0.26379,                 1.6213,                 1.8428,                 1.9419,                 1.6609,                  2.079,                 1.8397,             0.00085436,             0.00085436,             0.00085436
                     38,                 0.9355,                0.82555,                 1.1757,                 1.0315,                 0.8793,                 1.1856,                0.52779,                0.55593,                0.46035,                0.26239,                 1.6389,                 1.8537,                 1.9753,                 1.6974,                 2.0816,                 1.8765,             0.00084703,             0.00084703,             0.00084703
                     39,                0.93469,                 0.8116,                 1.1755,                 1.0297,                 0.8672,                 1.1845,                 0.5235,                0.55819,                0.45491,                0.26005,                 1.6508,                 1.9201,                 1.9607,                 1.6932,                 2.1466,                 1.8486,             0.00083969,             0.00083969,             0.00083969
                     40,                 0.9265,                0.80963,                 1.1681,                 1.0247,                0.86544,                  1.177,                0.50333,                0.54255,                0.44393,                0.25617,                 1.6448,                 1.8533,                 1.9673,                 1.6779,                 2.0997,                 1.8462,             0.00083236,             0.00083236,             0.00083236
                     41,                0.92863,                0.81135,                 1.1614,                 1.0273,                0.86919,                 1.1725,                0.51452,                0.52962,                0.43752,                0.25118,                 1.6309,                 1.8554,                 1.9521,                 1.6681,                 2.1189,                 1.8397,             0.00082503,             0.00082503,             0.00082503
                     42,                0.91802,                0.79319,                 1.1556,                 1.0121,                0.84517,                 1.1664,                 0.5175,                0.56456,                0.45213,                0.25334,                  1.637,                 1.8904,                 1.9616,                 1.6843,                 2.1401,                 1.8674,              0.0008177,              0.0008177,              0.0008177
                     43,                0.92263,                0.79169,                 1.1674,                 1.0154,                0.84021,                 1.1766,                0.54073,                0.54067,                0.45513,                  0.259,                 1.6176,                  1.844,                 1.9266,                 1.6643,                 2.0958,                 1.8328,             0.00081036,             0.00081036,             0.00081036
